contract_no,contract_serial,contract_type,contract_status_no,state,out_date,out_time,in_date,in_time,days,out_milage,in_milage,milage_changed,vehicle_id,is_status_5,matches_cancelled_flag
402,404,C,2,closed,"2011-08-29 00:00:00",20:55:00,"2011-08-29 00:00:00",20:55:00,,15700,15710,yes,1536,no,"FALSE POSITIVE (status 2)"
323,325,C,2,closed,"2011-10-27 00:00:00",19:45:00,"2011-10-27 00:00:00",19:45:00,4,800,1000,yes,1559,no,"FALSE POSITIVE (status 2)"
351,353,C,5,closed,"2011-11-02 00:00:00",19:19:25,"2011-11-02 00:00:00",19:19:25,0,137600,0,yes,1535,yes,matches
446,448,C,5,closed,"2011-12-01 00:00:00",23:40:30,"2011-12-01 00:00:00",23:40:30,4,1400,2000,yes,1564,yes,matches
550,552,C,5,closed,"2012-01-06 00:00:00",17:21:53,"2012-01-06 00:00:00",17:21:53,0,32500,0,yes,1547,yes,matches
598,600,C,5,closed,"2012-01-18 00:00:00",23:16:05,"2012-01-18 00:00:00",23:16:05,0,21800,0,yes,1541,yes,matches
596,598,C,5,closed,"2012-01-18 00:00:00",18:34:30,"2012-01-18 00:00:00",18:34:30,0,21800,0,yes,1541,yes,matches
595,597,C,5,closed,"2012-01-18 00:00:00",12:44:33,"2012-01-18 00:00:00",12:44:33,0,21500,21800,yes,1541,yes,matches
650,652,C,5,closed,"2012-02-05 00:00:00",18:43:12,"2012-02-05 00:00:00",18:43:12,0,145500,0,yes,1535,yes,matches
693,695,C,5,closed,"2012-02-21 00:00:00",13:41:37,"2012-02-21 00:00:00",13:41:37,0,214000,0,yes,1531,yes,matches
711,713,C,5,closed,"2012-02-26 00:00:00",20:35:00,"2012-02-26 00:00:00",20:35:00,0,8000,0,yes,1569,yes,matches
722,724,C,5,closed,"2012-03-01 00:00:00",17:25:00,"2012-03-01 00:00:00",17:25:00,0,56500,0,yes,1567,yes,matches
736,738,C,5,closed,"2012-03-06 00:00:00",12:35:39,"2012-03-06 00:00:00",12:35:39,0,32800,0,yes,1542,yes,matches
748,750,C,5,closed,"2012-03-08 00:00:00",21:38:14,"2012-03-08 00:00:00",21:38:14,0,9550,0,yes,1564,yes,matches
858,860,C,5,closed,"2012-04-17 00:00:00",20:40:21,"2012-04-17 00:00:00",20:40:21,0,208700,0,yes,1530,yes,matches
1127,1129,C,5,closed,"2012-07-29 00:00:00",18:58:00,"2012-07-29 00:00:00",18:58:00,0,19300,0,yes,1554,yes,matches
1231,1233,C,5,closed,"2012-09-10 00:00:00",11:43:48,"2012-09-10 00:00:00",11:43:48,0,28400,0,yes,1541,yes,matches
1234,1236,C,5,closed,"2012-09-11 00:00:00",13:40:00,"2012-09-11 00:00:00",13:40:00,0,34701,34800,yes,1553,yes,matches
1295,1296,C,5,closed,"2012-10-10 00:00:00",22:50:11,"2012-10-10 00:00:00",22:50:11,0,15600,0,yes,1561,yes,matches
1317,1318,C,5,closed,"2012-10-18 00:00:00",18:59:04,"2012-10-18 00:00:00",18:59:04,0,19600,0,yes,1565,yes,matches
1315,1316,C,5,closed,"2012-10-18 00:00:00",18:43:32,"2012-10-18 00:00:00",18:43:32,0,15700,0,yes,1565,yes,matches
1327,1328,C,5,closed,"2012-10-22 00:00:00",13:17:12,"2012-10-22 00:00:00",13:17:12,0,34500,0,yes,1568,yes,matches
1333,1334,C,5,closed,"2012-10-23 00:00:00",20:16:49,"2012-10-23 00:00:00",20:16:49,0,14100,0,yes,1555,yes,matches
1339,1340,C,5,closed,"2012-10-25 00:00:00",18:08:35,"2012-10-25 00:00:00",18:08:35,0,20000,20200,yes,1562,yes,matches
1391,1392,C,5,closed,"2012-11-17 00:00:00",23:18:00,"2012-11-17 00:00:00",23:18:00,0,36700,0,yes,1551,yes,matches
1394,1395,C,5,closed,"2012-11-20 00:00:00",18:05:00,"2012-11-20 00:00:00",18:05:00,0,24600,0,yes,1538,yes,matches
1406,1407,C,5,closed,"2012-11-24 00:00:00",16:39:16,"2012-11-24 00:00:00",16:39:16,0,31600,0,yes,1560,yes,matches
1425,1426,C,5,closed,"2012-12-04 00:00:00",12:30:00,"2012-12-04 00:00:00",12:30:00,0,41600,0,yes,1541,yes,matches
1450,1451,C,5,closed,"2012-12-15 00:00:00",20:50:47,"2012-12-15 00:00:00",20:50:47,0,32200,0,yes,1534,yes,matches
1467,1468,C,5,closed,"2012-12-22 00:00:00",22:23:07,"2012-12-22 00:00:00",22:23:07,0,30200,0,yes,1545,yes,matches
1482,1483,C,5,closed,"2012-12-27 00:00:00",20:08:52,"2012-12-27 00:00:00",20:08:52,0,37400,0,yes,1547,yes,matches
1516,1517,C,5,closed,"2013-01-12 00:00:00",14:30:00,"2013-01-12 00:00:00",14:30:00,0,50800,0,yes,1535,yes,matches
1535,1536,C,5,closed,"2013-01-21 00:00:00",16:35:37,"2013-01-21 00:00:00",16:35:37,0,42800,0,yes,1543,yes,matches
1540,1541,C,5,closed,"2013-01-24 00:00:00",17:58:23,"2013-01-24 00:00:00",17:58:23,0,20900,0,yes,1540,yes,matches
1548,1549,C,5,closed,"2013-01-26 00:00:00",20:26:56,"2013-01-26 00:00:00",20:26:56,0,54900,0,yes,1535,yes,matches
1553,1554,C,5,closed,"2013-01-27 00:00:00",18:55:00,"2013-01-27 00:00:00",18:55:00,0,24500,0,yes,1563,yes,matches
1557,1558,C,5,closed,"2013-01-28 00:00:00",20:56:09,"2013-01-28 00:00:00",20:56:09,0,50400,0,yes,1563,yes,matches
1561,1562,C,5,closed,"2013-01-30 00:00:00",10:24:17,"2013-01-30 00:00:00",10:24:17,0,43700,0,yes,1540,yes,matches
1584,1585,C,5,closed,"2013-02-05 00:00:00",20:20:15,"2013-02-05 00:00:00",20:20:15,0,42400,0,yes,1551,yes,matches
1581,1582,C,5,closed,"2013-02-05 00:00:00",13:22:21,"2013-02-05 00:00:00",13:22:21,0,45400,0,yes,1561,yes,matches
1694,1695,C,5,closed,"2013-03-10 00:00:00",13:08:02,"2013-03-10 00:00:00",13:08:02,0,54850,0,yes,1535,yes,matches
1772,1773,C,5,closed,"2013-03-29 00:00:00",16:47:31,"2013-03-29 00:00:00",16:47:31,0,13900,0,yes,1551,yes,matches
1793,1794,C,5,closed,"2013-04-04 00:00:00",18:04:22,"2013-04-04 00:00:00",18:04:22,0,20200,0,yes,1556,yes,matches
1790,1791,C,5,closed,"2013-04-04 00:00:00",11:49:52,"2013-04-04 00:00:00",11:49:52,0,53100,0,yes,1540,yes,matches
1809,1810,C,5,closed,"2013-04-08 00:00:00",10:38:49,"2013-04-08 00:00:00",10:38:49,0,21300,0,yes,1545,yes,matches
1824,1825,C,5,closed,"2013-04-13 00:00:00",21:16:09,"2013-04-13 00:00:00",21:16:09,0,4000,0,yes,1581,yes,matches
1834,1835,C,5,closed,"2013-04-17 00:00:00",12:29:53,"2013-04-17 00:00:00",12:29:53,0,17200,0,yes,1558,yes,matches
1842,1843,C,5,closed,"2013-04-20 00:00:00",11:14:36,"2013-04-20 00:00:00",11:14:36,0,45800,0,yes,1554,yes,matches
1875,1876,C,5,closed,"2013-05-02 00:00:00",16:01:37,"2013-05-02 00:00:00",16:01:37,0,50500,0,yes,1543,yes,matches
1903,1904,C,5,closed,"2013-05-12 00:00:00",20:25:54,"2013-05-12 00:00:00",20:25:54,0,31700,0,yes,1570,yes,matches
1900,1901,C,5,closed,"2013-05-12 00:00:00",12:19:11,"2013-05-12 00:00:00",12:19:11,0,49900,0,yes,1551,yes,matches
1909,1910,C,5,closed,"2013-05-14 00:00:00",21:22:04,"2013-05-14 00:00:00",21:22:04,0,30100,0,yes,1548,yes,matches
1925,1926,C,5,closed,"2013-05-20 00:00:00",16:03:27,"2013-05-20 00:00:00",16:03:27,0,41,0,yes,1584,yes,matches
1939,1940,C,5,closed,"2013-05-23 00:00:00",22:17:37,"2013-05-23 00:00:00",22:17:37,0,15200,0,yes,1539,yes,matches
1972,1973,C,5,closed,"2013-06-03 00:00:00",20:04:39,"2013-06-03 00:00:00",20:04:39,0,6900,0,yes,1577,yes,matches
1980,1981,C,5,closed,"2013-06-06 00:00:00",19:19:41,"2013-06-06 00:00:00",19:19:41,0,75600,0,yes,1568,yes,matches
1997,1998,C,5,closed,"2013-06-10 00:00:00",21:32:13,"2013-06-10 00:00:00",21:32:13,0,47790,0,yes,1558,yes,matches
2007,2008,C,5,closed,"2013-06-13 00:00:00",18:53:44,"2013-06-13 00:00:00",18:53:44,0,71658,0,yes,1534,yes,matches
2037,2038,C,5,closed,"2013-06-22 00:00:00",21:45:46,"2013-06-22 00:00:00",21:45:46,0,8268,0,yes,1580,yes,matches
2047,2048,C,5,closed,"2013-06-25 00:00:00",19:52:32,"2013-06-25 00:00:00",19:52:32,0,70997,0,yes,1538,yes,matches
2056,2057,C,5,closed,"2013-06-28 00:00:00",23:30:00,"2013-06-28 00:00:00",23:30:00,0,12456,0,yes,1577,yes,matches
2066,2067,C,5,closed,"2013-06-29 00:00:00",19:27:44,"2013-06-29 00:00:00",19:27:44,0,51023,0,yes,1565,yes,matches
2063,2064,C,5,closed,"2013-06-29 00:00:00",18:53:51,"2013-06-29 00:00:00",18:53:51,0,56900,0,yes,1540,yes,matches
2091,2092,C,5,closed,"2013-07-07 00:00:00",10:29:08,"2013-07-07 00:00:00",10:29:08,0,23180,0,yes,1572,yes,matches
2104,2105,C,5,closed,"2013-07-09 00:00:00",13:03:29,"2013-07-09 00:00:00",13:03:29,0,53459,0,yes,1539,yes,matches
2118,2119,C,5,closed,"2013-07-14 00:00:00",23:48:37,"2013-07-14 00:00:00",23:48:37,0,63215,0,yes,1554,yes,matches
2124,2125,C,5,closed,"2013-07-17 00:00:00",14:28:48,"2013-07-17 00:00:00",14:28:48,0,52698,0,yes,1563,yes,matches
2160,2161,C,5,closed,"2013-08-05 00:00:00",11:52:50,"2013-08-05 00:00:00",11:52:50,0,9712,0,yes,1580,yes,matches
2187,2188,C,5,closed,"2013-08-11 00:00:00",21:37:46,"2013-08-11 00:00:00",21:37:46,0,23500,0,yes,1569,yes,matches
2185,2186,C,5,closed,"2013-08-11 00:00:00",16:12:35,"2013-08-11 00:00:00",16:12:35,0,13356,0,yes,1577,yes,matches
2192,2193,C,5,closed,"2013-08-12 00:00:00",19:51:00,"2013-08-12 00:00:00",19:51:00,0,136957,0,yes,1568,yes,matches
2202,2203,C,5,closed,"2013-08-15 00:00:00",20:18:54,"2013-08-15 00:00:00",20:18:54,0,22565,0,yes,1568,yes,matches
2222,2223,C,5,closed,"2013-08-20 00:00:00",20:15:31,"2013-08-20 00:00:00",20:15:31,0,75800,0,yes,1535,yes,matches
2248,2249,C,5,closed,"2013-08-27 00:00:00",19:20:00,"2013-08-27 00:00:00",19:20:00,0,13000,0,yes,1569,yes,matches
2280,2281,C,5,closed,"2013-09-06 00:00:00",18:00:00,"2013-09-06 00:00:00",18:00:00,0,22952,22969,yes,1574,yes,matches
2275,2276,C,5,closed,"2013-09-07 00:00:00",12:28:07,"2013-09-07 00:00:00",12:28:07,0,61965,0,yes,1540,yes,matches
2294,2295,C,5,closed,"2013-09-09 00:00:00",16:30:00,"2013-09-09 00:00:00",16:30:00,0,62032,0,yes,1555,yes,matches
2302,2303,C,5,closed,"2013-09-12 00:00:00",22:13:35,"2013-09-12 00:00:00",22:13:35,0,78380,0,yes,1534,yes,matches
2341,2342,C,5,closed,"2013-09-21 00:00:00",18:58:28,"2013-09-21 00:00:00",18:58:28,0,143818,0,yes,1568,yes,matches
2340,2341,C,5,closed,"2013-09-21 00:00:00",18:57:41,"2013-09-21 00:00:00",18:57:41,0,76887,0,yes,1567,yes,matches
2344,2345,C,5,closed,"2013-09-22 00:00:00",11:17:14,"2013-09-22 00:00:00",11:17:14,0,142352,0,yes,1568,yes,matches
2363,2364,C,5,closed,"2013-09-25 00:00:00",19:42:08,"2013-09-25 00:00:00",19:42:08,0,44758,0,yes,1543,yes,matches
2373,2374,C,5,closed,"2013-09-28 00:00:00",17:09:27,"2013-09-28 00:00:00",17:09:27,0,17619,0,yes,1576,yes,matches
2372,2373,C,5,closed,"2013-09-28 00:00:00",17:04:43,"2013-09-28 00:00:00",17:04:43,0,75317,0,yes,1554,yes,matches
2398,2399,C,5,closed,"2013-10-08 00:00:00",18:01:07,"2013-10-08 00:00:00",18:01:07,0,25356,0,yes,1568,yes,matches
2420,2421,C,5,closed,"2013-10-10 00:00:00",21:30:00,"2013-10-10 00:00:00",21:30:00,0,24257,0,yes,1581,yes,matches
2416,2417,C,5,closed,"2013-10-11 00:00:00",15:30:00,"2013-10-11 00:00:00",15:30:00,0,55425,0,yes,1565,yes,matches
2430,2431,C,5,closed,"2013-10-13 00:00:00",13:00:00,"2013-10-13 00:00:00",13:00:00,0,15689,0,yes,1581,yes,matches
2481,2482,C,5,closed,"2013-10-27 00:00:00",16:25:45,"2013-10-27 00:00:00",16:25:45,0,65399,0,yes,1551,yes,matches
2497,2498,C,5,closed,"2013-10-31 00:00:00",15:26:15,"2013-10-31 00:00:00",15:26:15,0,59249,0,yes,1558,yes,matches
2536,2537,C,5,closed,"2013-11-10 00:00:00",22:23:55,"2013-11-10 00:00:00",22:23:55,0,77515,0,yes,1546,yes,matches
2564,2565,C,5,closed,"2013-11-16 00:00:00",20:00:00,"2013-11-16 00:00:00",20:00:00,0,59315,0,yes,1542,yes,matches
2570,2571,C,5,closed,"2013-11-17 00:00:00",20:30:00,"2013-11-17 00:00:00",20:30:00,1,49026,0,yes,1570,yes,matches
2579,2580,C,5,closed,"2013-11-19 00:00:00",20:05:10,"2013-11-19 00:00:00",20:05:10,0,67373,0,yes,1551,yes,matches
2587,2588,C,5,closed,"2013-11-21 00:00:00",19:17:43,"2013-11-21 00:00:00",19:17:43,0,20801,0,yes,1577,yes,matches
2597,2598,C,5,closed,"2013-11-23 00:00:00",21:49:10,"2013-11-23 00:00:00",21:49:10,0,52565,0,yes,1577,yes,matches
2592,2593,C,5,closed,"2013-11-23 00:00:00",18:18:03,"2013-11-23 00:00:00",18:18:03,0,132682,0,yes,1560,yes,matches
2667,2668,C,5,closed,"2013-12-08 00:00:00",15:15:19,"2013-12-08 00:00:00",15:15:19,0,27400,0,yes,1582,yes,matches
2677,2678,C,5,closed,"2013-12-10 00:00:00",10:00:46,"2013-12-10 00:00:00",10:00:46,0,73900,0,yes,1587,yes,matches
2696,2697,C,5,closed,"2013-12-14 00:00:00",17:23:30,"2013-12-14 00:00:00",17:23:30,0,90191,0,yes,1537,yes,matches
2700,2701,C,5,closed,"2013-12-15 00:00:00",10:17:15,"2013-12-15 00:00:00",10:17:15,0,85121,0,yes,1550,yes,matches
2724,2725,C,5,closed,"2013-12-21 00:00:00",18:09:23,"2013-12-21 00:00:00",18:09:23,0,76452,0,yes,1555,yes,matches
2723,2724,C,5,closed,"2013-12-21 00:00:00",18:07:57,"2013-12-21 00:00:00",18:07:57,0,86458,0,yes,1549,yes,matches
2742,2743,C,5,closed,"2013-12-24 00:00:00",17:27:42,"2013-12-24 00:00:00",17:27:42,0,5458,0,yes,1549,yes,matches
2747,2748,C,5,closed,"2013-12-25 00:00:00",10:46:48,"2013-12-25 00:00:00",10:46:48,0,151654,0,yes,1549,yes,matches
2760,2761,C,5,closed,"2013-12-29 00:00:00",17:52:02,"2013-12-29 00:00:00",17:52:02,0,56757,0,yes,1569,yes,matches
2758,2759,C,5,closed,"2013-12-29 00:00:00",16:14:00,"2013-12-29 00:00:00",16:14:00,0,80124,0,yes,1554,yes,matches
2756,2757,C,5,closed,"2013-12-29 00:00:00",09:29:18,"2013-12-29 00:00:00",09:29:18,0,70459,0,yes,1556,yes,matches
2771,2772,C,5,closed,"2013-12-30 00:00:00",22:55:57,"2013-12-30 00:00:00",22:55:57,0,28811,0,yes,1583,yes,matches
2770,2771,C,5,closed,"2013-12-30 00:00:00",22:34:05,"2013-12-30 00:00:00",22:34:05,0,13915,0,yes,1590,yes,matches
2764,2765,C,5,closed,"2013-12-30 00:00:00",10:03:32,"2013-12-30 00:00:00",10:03:32,0,52001,0,yes,1570,yes,matches
2782,2783,C,5,closed,"2014-01-01 00:00:00",12:17:25,"2014-01-01 00:00:00",12:17:25,0,52168,0,yes,1570,yes,matches
2797,2798,C,5,closed,"2014-01-02 00:00:00",21:42:59,"2014-01-02 00:00:00",21:42:59,0,64566,0,yes,1563,yes,matches
2795,2796,C,5,closed,"2014-01-02 00:00:00",20:42:10,"2014-01-02 00:00:00",20:42:10,0,147598,0,yes,1568,yes,matches
2823,2824,C,5,closed,"2014-01-09 00:00:00",20:25:58,"2014-01-09 00:00:00",20:25:58,0,149533,0,yes,1568,yes,matches
2836,2837,C,5,closed,"2014-01-12 00:00:00",17:15:30,"2014-01-12 00:00:00",17:15:30,0,91692,0,yes,1537,yes,matches
2843,2844,C,5,closed,"2014-01-13 00:00:00",22:03:46,"2014-01-13 00:00:00",22:03:46,0,14968,0,yes,1599,yes,matches
2842,2843,C,5,closed,"2014-01-13 00:00:00",20:20:09,"2014-01-13 00:00:00",20:20:09,0,124,0,yes,1597,yes,matches
2841,2842,C,5,closed,"2014-01-13 00:00:00",20:19:11,"2014-01-13 00:00:00",20:19:11,0,124,0,yes,1598,yes,matches
2883,2884,C,5,closed,"2014-01-23 00:00:00",18:09:07,"2014-01-23 00:00:00",18:09:07,0,79953,0,yes,1561,yes,matches
2889,2890,C,5,closed,"2014-01-24 00:00:00",20:38:42,"2014-01-24 00:00:00",20:38:42,0,66215,0,yes,1563,yes,matches
2895,2896,C,5,closed,"2014-01-25 00:00:00",18:24:36,"2014-01-25 00:00:00",18:24:36,0,71820,0,yes,1556,yes,matches
2923,2924,C,5,closed,"2014-01-30 00:00:00",18:30:16,"2014-01-30 00:00:00",18:30:16,0,80300,0,yes,1561,yes,matches
2918,2919,C,5,closed,"2014-01-30 00:00:00",16:45:05,"2014-01-30 00:00:00",16:45:05,0,93154,0,yes,1537,yes,matches
3001,3002,C,5,closed,"2014-02-19 00:00:00",16:57:04,"2014-02-19 00:00:00",16:57:04,0,33939,33940,yes,1578,yes,matches
3018,3019,C,5,closed,"2014-02-23 00:00:00",19:36:02,"2014-02-23 00:00:00",19:36:02,0,34000,0,yes,1582,yes,matches
3062,3063,C,5,closed,"2014-03-06 00:00:00",22:35:47,"2014-03-06 00:00:00",22:35:47,0,3097,0,yes,1594,yes,matches
3067,3068,C,5,closed,"2014-03-08 00:00:00",14:22:30,"2014-03-08 00:00:00",14:22:30,0,32024,0,yes,1583,yes,matches
3090,3091,C,5,closed,"2014-03-15 00:00:00",21:22:36,"2014-03-15 00:00:00",21:22:36,0,70662,0,yes,1563,yes,matches
3088,3089,C,5,closed,"2014-03-15 00:00:00",16:19:44,"2014-03-15 00:00:00",16:19:44,0,5745,0,yes,1592,yes,matches
3109,3110,C,5,closed,"2014-03-19 00:00:00",11:20:23,"2014-03-19 00:00:00",11:20:23,0,9411,0,yes,1589,yes,matches
3126,3127,C,5,closed,"2014-03-25 00:00:00",16:07:05,"2014-03-25 00:00:00",16:07:05,0,35055,0,yes,1583,yes,matches
3147,3148,C,5,closed,"2014-03-30 00:00:00",18:24:08,"2014-03-30 00:00:00",18:24:08,0,79318,0,yes,1602,yes,matches
3146,3147,C,5,closed,"2014-03-30 00:00:00",18:07:49,"2014-03-30 00:00:00",18:07:49,0,83135,0,yes,1555,yes,matches
3156,3157,C,5,closed,"2014-04-01 00:00:00",11:47:31,"2014-04-01 00:00:00",11:47:31,0,93437,0,yes,1549,yes,matches
3167,3168,C,5,closed,"2014-04-03 00:00:00",18:12:12,"2014-04-03 00:00:00",18:12:12,0,34437,0,yes,1582,yes,matches
3243,3244,C,5,closed,"2014-04-24 00:00:00",20:30:20,"2014-04-24 00:00:00",20:30:20,0,9502,0,yes,1597,yes,matches
3286,3287,C,5,closed,"2014-05-08 00:00:00",20:19:37,"2014-05-08 00:00:00",20:19:37,0,8212,0,yes,1598,yes,matches
3301,3302,C,5,closed,"2014-05-13 00:00:00",10:00:27,"2014-05-13 00:00:00",10:00:27,0,11598,0,yes,1591,yes,matches
3309,3310,C,5,closed,"2014-05-15 00:00:00",23:07:06,"2014-05-15 00:00:00",23:07:06,0,61721,0,yes,1569,yes,matches
3344,3345,C,5,closed,"2014-05-27 00:00:00",21:16:32,"2014-05-27 00:00:00",21:16:32,0,93475,0,yes,1567,yes,matches
3422,3423,C,5,closed,"2014-06-19 00:00:00",19:52:29,"2014-06-19 00:00:00",19:52:29,0,77614,0,yes,1536,yes,matches
3504,3505,C,5,closed,"2014-06-30 00:00:00",10:40:00,"2014-06-30 00:00:00",10:40:00,0,25458,0,yes,1608,yes,matches
3501,3502,C,5,closed,"2014-07-21 00:00:00",21:09:35,"2014-07-21 00:00:00",21:09:35,0,73463,0,yes,1571,yes,matches
3511,3512,C,5,closed,"2014-07-27 00:00:00",17:41:16,"2014-07-27 00:00:00",17:41:16,0,44758,0,yes,1572,yes,matches
3595,3596,C,5,closed,"2014-08-17 00:00:00",19:05:00,"2014-08-17 00:00:00",19:05:00,0,89540,0,yes,1552,yes,matches
3582,3583,C,5,closed,"2014-08-17 00:00:00",15:01:12,"2014-08-17 00:00:00",15:01:12,0,83584,0,yes,1602,yes,matches
3586,3587,C,5,closed,"2014-08-19 00:00:00",14:39:29,"2014-08-19 00:00:00",14:39:29,0,45415,0,yes,1577,yes,matches
3600,3601,C,5,closed,"2014-08-23 00:00:00",16:32:05,"2014-08-23 00:00:00",16:32:05,0,80295,0,yes,1563,yes,matches
3631,3632,C,5,closed,"2014-09-03 00:00:00",11:38:24,"2014-09-03 00:00:00",11:38:24,0,42913,0,yes,1573,yes,matches
3686,3687,C,5,closed,"2014-09-18 00:00:00",19:09:44,"2014-09-18 00:00:00",19:09:44,0,98337,0,yes,1538,yes,matches
3743,3744,C,5,closed,"2014-10-02 00:00:00",20:37:27,"2014-10-02 00:00:00",20:37:27,0,99440,0,yes,1538,yes,matches
3735,3736,C,5,closed,"2014-10-02 00:00:00",12:49:17,"2014-10-02 00:00:00",12:49:17,0,86847,0,yes,1602,yes,matches
3758,3759,C,5,closed,"2014-10-06 00:00:00",10:59:04,"2014-10-06 00:00:00",10:59:04,0,1,0,yes,1583,yes,matches
3808,3809,C,5,closed,"2014-10-15 00:00:00",21:42:49,"2014-10-15 00:00:00",21:42:49,0,68506,0,yes,1569,yes,matches
3830,3831,C,5,closed,"2014-10-23 00:00:00",15:02:19,"2014-10-23 00:00:00",15:02:19,0,20779,0,yes,1592,yes,matches
3878,3880,C,5,closed,"2014-11-05 00:00:00",12:38:00,"2014-11-05 00:00:00",12:38:00,0,3683,0,yes,1616,yes,matches
3900,3903,C,5,closed,"2014-11-10 00:00:00",12:20:00,"2014-11-10 00:00:00",12:20:00,0,6059,0,yes,1612,yes,matches
3923,3926,C,5,closed,"2014-11-15 00:00:00",09:24:00,"2014-11-15 00:00:00",09:24:00,0,34874,0,yes,1575,yes,matches
4103,4106,C,5,closed,"2014-11-30 00:00:00",17:25:00,"2014-11-30 00:00:00",17:25:00,0,56645,56646,yes,1607,yes,matches
4010,4013,C,5,closed,"2014-12-04 00:00:00",19:46:00,"2014-12-04 00:00:00",19:46:00,0,80494,0,yes,1571,yes,matches
4064,4067,C,5,closed,"2014-12-20 00:00:00",21:14:00,"2014-12-20 00:00:00",21:14:00,0,54152,0,yes,1582,yes,matches
4069,4072,C,5,closed,"2014-12-21 00:00:00",14:12:00,"2014-12-21 00:00:00",14:12:00,0,108598,0,yes,1549,yes,matches
4094,4097,C,5,closed,"2014-12-27 00:00:00",11:34:00,"2014-12-27 00:00:00",11:34:00,0,31929,0,yes,1574,yes,matches
4138,4141,C,5,closed,"2015-01-05 00:00:00",14:04:00,"2015-01-05 00:00:00",14:04:00,0,46655,0,yes,1604,yes,matches
4158,4161,C,5,closed,"2015-01-11 00:00:00",18:45:00,"2015-01-11 00:00:00",18:45:00,0,94969,0,yes,1602,yes,matches
4176,4179,C,5,closed,"2015-01-14 00:00:00",21:36:00,"2015-01-14 00:00:00",21:36:00,0,115636,0,yes,1567,yes,matches
4175,4178,C,5,closed,"2015-01-14 00:00:00",21:36:00,"2015-01-14 00:00:00",21:36:00,0,30165,0,yes,1591,yes,matches
4188,4191,C,5,closed,"2015-01-17 00:00:00",23:12:00,"2015-01-17 00:00:00",23:12:00,0,94530,0,yes,1552,yes,matches
4200,4203,C,5,closed,"2015-01-21 00:00:00",10:33:00,"2015-01-21 00:00:00",10:33:00,0,97691,0,yes,1538,yes,matches
4214,4217,C,5,closed,"2015-01-26 00:00:00",21:07:00,"2015-01-26 00:00:00",21:07:00,0,102152,0,yes,1549,yes,matches
4236,4239,C,5,closed,"2015-02-03 00:00:00",21:40:00,"2015-02-03 00:00:00",21:40:00,0,96177,0,yes,1602,yes,matches
4235,4238,C,5,closed,"2015-02-03 00:00:00",21:28:00,"2015-02-03 00:00:00",21:28:00,0,93086,0,yes,1563,yes,matches
4234,4237,C,5,closed,"2015-02-03 00:00:00",20:52:00,"2015-02-03 00:00:00",20:52:00,0,2222,2223,yes,1582,yes,matches
4252,4255,C,5,closed,"2015-02-08 00:00:00",13:37:00,"2015-02-08 00:00:00",13:37:00,0,28017,0,yes,1596,yes,matches
4260,4263,C,5,closed,"2015-02-09 00:00:00",14:26:00,"2015-02-09 00:00:00",14:26:00,0,69147,0,yes,1580,yes,matches
4290,4293,C,5,closed,"2015-02-19 00:00:00",18:11:00,"2015-02-19 00:00:00",18:11:00,0,102568,0,yes,1549,yes,matches
4304,4307,C,5,closed,"2015-02-22 00:00:00",17:10:00,"2015-02-22 00:00:00",17:10:00,0,13747,0,yes,1616,yes,matches
4310,4313,C,5,closed,"2015-02-23 00:00:00",13:41:00,"2015-02-23 00:00:00",13:41:00,0,65448,0,yes,1578,yes,matches
4309,4312,C,5,closed,"2015-02-23 00:00:00",13:36:00,"2015-02-23 00:00:00",13:36:00,0,4390,0,yes,1618,yes,matches
4330,4333,C,5,closed,"2015-02-26 00:00:00",22:16:00,"2015-02-26 00:00:00",22:16:00,0,27740,0,yes,1594,yes,matches
4352,4356,C,5,closed,"2015-03-05 00:00:00",20:18:00,"2015-03-05 00:00:00",20:18:00,0,22914,0,yes,1617,yes,matches
4507,4511,C,5,closed,"2015-04-14 00:00:00",11:48:00,"2015-04-14 00:00:00",11:48:00,0,62935,0,yes,1583,yes,matches
4521,4525,C,5,closed,"2015-04-19 00:00:00",12:23:00,"2015-04-19 00:00:00",12:23:00,0,92270,0,yes,1571,yes,matches
4537,4541,C,5,closed,"2015-04-22 00:00:00",16:37:00,"2015-04-22 00:00:00",16:37:00,0,32541,0,yes,1628,yes,matches
4559,4563,C,5,closed,"2015-04-30 00:00:00",09:35:00,"2015-04-30 00:00:00",09:35:00,0,93742,0,yes,1536,yes,matches
4571,4575,C,5,closed,"2015-05-04 00:00:00",22:03:00,"2015-05-04 00:00:00",22:03:00,0,15241,15381,yes,1609,yes,matches
4570,4574,C,5,closed,"2015-05-04 00:00:00",22:02:00,"2015-05-04 00:00:00",22:02:00,0,65124,0,yes,1583,yes,matches
4579,4583,C,5,closed,"2015-05-07 00:00:00",19:33:00,"2015-05-07 00:00:00",19:33:00,0,95600,0,yes,1552,yes,matches
4594,4598,C,5,closed,"2015-05-09 00:00:00",09:20:00,"2015-05-09 00:00:00",09:20:00,0,31985,0,yes,1595,yes,matches
4590,4594,C,5,closed,"2015-05-09 00:00:00",11:55:00,"2015-05-09 00:00:00",11:55:00,0,42607,0,yes,1600,yes,matches
4637,4641,C,5,closed,"2015-05-18 00:00:00",19:23:00,"2015-05-18 00:00:00",19:23:00,0,52415,0,yes,1597,yes,matches
4649,4653,C,5,closed,"2015-05-20 00:00:00",15:38:00,"2015-05-20 00:00:00",15:38:00,0,38995,0,yes,1591,yes,matches
